year,type,isin,label,outstanding_eur,snapshot_scope
2026,OAT,FR001400FYQ4,"OAT 2,50 % 24 septembre 2026",24030000000,"AFT outstanding; settlement boundary through 2026-08-24"
2026,OAT,FR0013200813,"OAT 0,25 % 25 novembre 2026",36708000000,"same scope"
2027,OAT,FR0014003513,"OAT 0,00 % 25 février 2027",38448000000,"same scope"
2027,OAT,FR0013250560,"OAT 1,00 % 25 mai 2027",40908000000,"same scope"
2027,OAT,FR001400NBC6,"OAT 2,50 % 24 septembre 2027",40397000000,"same scope"
2027,OAT,FR0011317783,"OAT 2,75 % 25 octobre 2027",61013000000,"same scope"
2027,OAT€i,FR0011008705,"OAT€i 1,85 % 25 juillet 2027",22162000000,"same scope"
2028,OAT,FR001400AIN5,"OAT 0,75 % 25 février 2028",51178000000,"same scope"
2028,OAT,FR0000571226,"OAT zéro coupon 28 mars 2028",46232603,"same scope"
2028,OAT,FR0013286192,"OAT 0,75 % 25 mai 2028",67202000000,"same scope"
2028,OAT,FR001400XLW2,"OAT 2,40 % 24 septembre 2028",48096000000,"same scope"
2028,OAT,FR0013341682,"OAT 0,75 % 25 novembre 2028",62095000000,"same scope"
2028,OATi,FR0013238268,"OATi 0,10 % 1 mars 2028",17612000000,"same scope"
2029,OAT,FR001400HI98,"OAT 2,75 % 25 février 2029",63538000000,"same scope"
2029,OAT,FR0000571218,"OAT 5,50 % 25 avril 2029",44514880462,"same scope"
2029,OAT,FR0013407236,"OAT 0,50 % 25 mai 2029",58805000000,"same scope"
2029,OAT,FR0014016G71,"OAT 2,40 % 24 septembre 2029",30313000000,"same scope"
2029,OAT,FR0013451507,"OAT 0,00 % 25 novembre 2029",49931000000,"same scope"
2029,OAT€i,FR0013410552,"OAT€i 0,10 % 1 mars 2029",24041000000,"same scope"
2029,OATi,FR0000186413,"OATi 3,40 % 25 juillet 2029",10176144000,"same scope"
2030,OAT,FR001400PM68,"OAT 2,75 % 25 février 2030",60789000000,"same scope"
2030,OAT,FR0011883966,"OAT 2,50 % 25 mai 2030",73381000000,"same scope"
2030,OAT,FR0013516549,"OAT 0,00 % 25 novembre 2030",58857000000,"same scope"
2030,OAT€i,FR0011982776,"OAT€i 0,70 % 25 juillet 2030",17232000000,"same scope"
2031,OAT,FR001400Z2L7,"OAT 2,70 % 25 février 2031",60070000000,"same scope"
2031,OAT,FR0012993103,"OAT 1,50 % 25 mai 2031",71282000000,"same scope"
2031,OAT,FR0014002WK3,"OAT 0,00 % 25 novembre 2031",59865000000,"same scope"
2031,OAT€i,FR0014001N38,"OAT€i 0,10 % 25 juillet 2031",13837000000,"same scope"
2032,OAT,FR0014018OI0,"OAT 3,25 % 25 février 2032",24260000000,"same scope"
2032,OAT,FR0014007L00,"OAT 0,00 % 25 mai 2032",50484000000,"same scope"
2032,OAT,FR0000187635,"OAT 5,75 % 25 octobre 2032",35192322600,"same scope"
2032,OAT,FR001400BKZ3,"OAT 2,00 % 25 novembre 2032",61439000000,"same scope"
2032,OAT€i,FR0000188799,"OAT€i 3,15 % 25 juillet 2032",15950000000,"same scope"
2032,OATi,FR0014003N51,"OATi 0,10 % 1 mars 2032",10064000000,"same scope"
