year,status,financing_need_bn_eur,total_amortisations_bn_eur,deficit_to_finance_bn_eur,other_needs_bn_eur,amort_share_pct,deficit_share_pct
2007,execution,102.5,69.6,42.1,-9.3,67.90,41.07
2008,execution,160.3,107.9,56.3,-3.9,67.31,35.12
2009,execution,246.4,111.7,138.0,-3.4,45.33,56.01
2010,execution,196.8,87.0,110.1,-0.4,44.21,55.95
2011,execution,185.6,95.5,90.7,-0.6,51.45,48.87
2012,execution,187.0,99.2,87.2,0.6,53.05,46.63
2013,execution,185.5,112.8,74.9,-2.2,60.81,40.38
2014,execution,179.1,104.0,73.6,1.5,58.07,41.09
2015,execution,189.1,116.5,70.5,2.0,61.61,37.28
2016,execution,194.1,124.9,69.1,0.1,64.35,35.60
2017,execution,183.1,115.2,67.7,0.2,62.92,36.97
2018,execution,192.0,116.6,76.1,-0.7,60.73,39.64
2019,execution,220.5,130.2,92.7,-2.4,59.05,42.04
2020,execution,309.5,138.3,178.1,-6.9,44.68,57.54
2021,execution,285.2,119.6,170.7,-5.1,41.94,59.85
2022,execution,280.0,148.7,151.4,-20.2,53.11,54.07
2023,execution,314.6,152.6,173.0,-11.0,48.51,54.99
2024,execution,305.7,157.8,155.9,-8.1,51.62,51.00
2025,execution,290.5,169.1,124.2,-2.8,58.21,42.75
2026,plan,305.7,178.3,124.4,3.0,58.33,40.69
